pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest_Ibateguara	chr_9	1	500000	0.004727055719580375	1429	301	63676	74
AtlanticForest_Ibateguara	chr_9	500001	1000000	0.006629385767114639	1493	441	66522	78
AtlanticForest_Ibateguara	chr_9	1000001	1500000	0.00661684105630294	1132	332	50175	90
AtlanticForest_Ibateguara	chr_9	1500001	2000000	0.004298459042984591	822	159	36990	0
AtlanticForest_Ibateguara	chr_9	2000001	2500000	0.00903789197276419	755	296	32751	144
AtlanticForest_Ibateguara	chr_9	2500001	3000000	0.005206689807510255	597	132	25352	178
AtlanticForest_Ibateguara	chr_9	3000001	3500000	0.01199294532627866	1071	578	48195	0
AtlanticForest_Ibateguara	chr_9	3500001	4000000	0.005808160587134559	942	239	41149	146
AtlanticForest_Ibateguara	chr_9	4000001	4500000	0.005033763044812768	362	82	16290	0
AtlanticForest_Ibateguara	chr_9	4500001	5000000	0.002235371466140697	676	68	30420	0
AtlanticForest_Ibateguara	chr_9	5000001	5500000	0.003059944820667168	443	61	19935	0
AtlanticForest_Ibateguara	chr_9	5500001	6000000	0.0032817627754336614	711	105	31995	0
AtlanticForest_Ibateguara	chr_9	6000001	6500000	0.0053639846743295016	493	119	22185	0
AtlanticForest_Ibateguara	chr_9	6500001	7000000	0.00546875	256	63	11520	0
AtlanticForest_Ibateguara	chr_9	7000001	7500000	0.004353440324663347	631	118	27105	172
AtlanticForest_Ibateguara	chr_9	7500001	8000000	0.0014606155451225874	639	42	28755	0
AtlanticForest_Ibateguara	chr_9	8000001	8500000	0.0029228235403280056	978	126	43109	106
AtlanticForest_Ibateguara	chr_9	8500001	9000000	0.004349303431872239	705	128	29430	270
AtlanticForest_Ibateguara	chr_9	9000001	9500000	0.006057774663240676	1461	389	64215	180
AtlanticForest_Ibateguara	chr_9	9500001	10000000	0.0023324630113141865	678	67	28725	210
AtlanticForest_Ibateguara	chr_9	10000001	10500000	0.0020977408944213923	964	91	43380	0
AtlanticForest_Ibateguara	chr_9	10500001	11000000	0.005122535470794177	603	139	27135	0
AtlanticForest_Ibateguara	chr_9	11000001	11500000	0.006067769897557132	564	154	25380	0
AtlanticForest_Ibateguara	chr_9	11500001	12000000	0.00351357517681953	1948	308	87660	0
AtlanticForest_Ibateguara	chr_9	12000001	12500000	0.006787404144232338	681	208	30645	0
AtlanticForest_Ibateguara	chr_9	12500001	13000000	0.0010043942247332078	531	24	23895	0
AtlanticForest_Ibateguara	chr_9	13000001	13500000	0.006584362139917695	135	40	6075	0
AtlanticForest_Ibateguara	chr_9	13500001	14000000	0.0038231780167264037	186	32	8370	0
AtlanticForest_Ibateguara	chr_9	14000001	14500000	0.005937921727395412	494	132	22230	0
