P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
InambariE	Headwaters	AtlanticForest	0.0132587	3.08809	0.00201448	0.0396378	812.124	792.242	771.508
AtlanticForest	Headwaters	InambariW	0.0284922	5.77856	7.53409e-09	0.469351	823.933	786.761	743.17
Headwaters	Rondonia	AtlanticForest	0.00369458	0.676827	0.498516	0.0111671	808.219	776.392	770.676
Headwaters	RondoniaHeadwaters	AtlanticForest	0.0106324	1.70501	0.088193	0.0324527	874.416	785.839	769.304
AtlanticForest	Tapajos	Headwaters	0.022152	4.28202	1.85203e-05	0.0401874	824.22	794.242	759.816
Headwaters	TapajosHeadwaters	AtlanticForest	0.000692996	0.0922868	0.92647	0.00196584	811.909	666.959	666.035
AtlanticForest	XinguBelemC	Headwaters	0.0167076	2.86063	0.00422794	0.0281928	945.036	750.029	725.378
XinguBelemN	AtlanticForest	Headwaters	0.000548248	0.0690295	0.944966	0.000897782	865.305	740.196	739.385
InambariW	InambariE	AtlanticForest	0.0390581	6.90183	5.13367e-12	0.102434	827.498	798.475	738.445
InambariE	Rondonia	AtlanticForest	0.0171256	3.60242	0.000315264	0.0504109	801.301	783.854	757.458
InambariE	RondoniaHeadwaters	AtlanticForest	0.0240189	5.34846	8.87044e-08	0.0716037	812.631	801.931	764.312
AtlanticForest	Tapajos	InambariE	0.0116898	4.10708	4.00698e-05	0.0945296	836.845	769.518	751.735
AtlanticForest	TapajosHeadwaters	InambariE	0.0103254	1.37908	0.167871	0.0851182	698.009	694.917	680.713
XinguBelemC	AtlanticForest	InambariE	0.00265365	0.555647	0.578452	0.0202404	965.796	725.63	721.789
XinguBelemN	AtlanticForest	InambariE	0.0068523	1.38196	0.166983	0.0496624	879.848	733.685	723.699
AtlanticForest	Rondonia	InambariW	0.0303878	8.93543	4.33681e-19	0.490492	817.018	776.387	730.593
AtlanticForest	RondoniaHeadwaters	InambariW	0.029579	4.39165	1.12496e-05	0.496875	836.485	784.364	739.295
AtlanticForest	Tapajos	InambariW	0.0118938	4.47264	7.72602e-06	0.189395	871.672	744.023	726.533
AtlanticForest	TapajosHeadwaters	InambariW	0.0171134	3.15197	0.00162173	0.262814	725.329	677.532	654.732
AtlanticForest	XinguBelemC	InambariW	0.00192906	0.402855	0.687055	0.0296181	999.706	702.245	699.541
AtlanticForest	XinguBelemN	InambariW	0.00450056	0.773756	0.439075	0.0677365	908.135	710.792	704.423
Rondonia	RondoniaHeadwaters	AtlanticForest	0.00718756	1.14993	0.250172	0.0224636	798.568	785.914	774.697
AtlanticForest	Tapajos	Rondonia	0.0113341	4.85353	1.21284e-06	0.370399	814.614	773.232	755.901
TapajosHeadwaters	Rondonia	AtlanticForest	0.00534685	0.768697	0.442073	0.0156482	698.366	681.555	674.305
AtlanticForest	XinguBelemC	Rondonia	0.00324489	0.711517	0.476764	0.0991078	940.9	731.859	727.125
AtlanticForest	XinguBelemN	Rondonia	0.000834672	0.157081	0.875181	0.02589	853.672	735.696	734.469
AtlanticForest	Tapajos	RondoniaHeadwaters	0.00203596	0.566613	0.570977	0.0034899	824.137	779.57	776.402
TapajosHeadwaters	RondoniaHeadwaters	AtlanticForest	0.0145455	1.95369	0.0507379	0.0428009	742.796	692.424	672.57
XinguBelemC	AtlanticForest	RondoniaHeadwaters	0.0113017	2.15321	0.0313018	0.0174678	952.154	750.091	733.326
XinguBelemN	AtlanticForest	RondoniaHeadwaters	0.0112187	1.46173	0.143815	0.0177328	861.325	751.884	735.201
AtlanticForest	Tapajos	TapajosHeadwaters	0.0189326	3.19333	0.00140642	0.0246445	728.73	693	667.247
AtlanticForest	XinguBelemC	Tapajos	0.00366272	0.740681	0.458887	1.28341	913.163	763.679	758.105
XinguBelemN	AtlanticForest	Tapajos	0.00471236	0.84262	0.399441	0.707577	831.142	768.425	761.217
AtlanticForest	XinguBelemC	TapajosHeadwaters	0.00166731	0.260522	0.794461	0.00200721	844.395	644.484	642.339
AtlanticForest	XinguBelemN	TapajosHeadwaters	0.00569071	0.573546	0.566275	0.00692533	762.455	651.836	644.459
XinguBelemC	AtlanticForest	XinguBelemN	0.00423122	0.830046	0.406513	0.0141182	873.255	781.453	774.868
Headwaters	InambariE	InambariW	0.0284633	4.94191	7.73609e-07	1.08995	829.453	817.656	772.398
Headwaters	Rondonia	InambariE	0.00196598	0.377854	0.705539	0.0259369	810.786	796.25	793.125
Headwaters	RondoniaHeadwaters	InambariE	0.00457489	0.639773	0.52232	0.0483262	874.635	796.68	789.424
Tapajos	Headwaters	InambariE	0.0144756	2.77371	0.00554204	0.132188	814.553	800.01	777.179
TapajosHeadwaters	Headwaters	InambariE	0.0143959	1.86325	0.0624277	0.123916	818.524	690.035	670.45
XinguBelemC	Headwaters	InambariE	0.0284595	3.92715	8.59599e-05	0.23477	806.716	801.933	757.551
InambariE	Headwaters	XinguBelemN	0.0199073	4.01381	5.97466e-05	0.0465377	798.267	777.931	747.563
Headwaters	Rondonia	InambariW	0.00143568	0.385207	0.700084	0.0512994	842.707	770.2	767.992
Headwaters	RondoniaHeadwaters	InambariW	0.00105054	0.162248	0.87111	0.0372368	907.437	766.724	765.114
Tapajos	Headwaters	InambariW	0.0170836	3.5397	0.000400581	0.349532	847.899	776.301	750.223
TapajosHeadwaters	Headwaters	InambariW	0.0102376	1.76206	0.0780589	0.22318	846.525	667.329	653.804
XinguBelemC	Headwaters	InambariW	0.0269388	4.74714	2.06316e-06	0.452669	836.755	774.882	734.228
XinguBelemN	Headwaters	InambariW	0.0252174	4.34394	1.39949e-05	0.487473	802.922	769.29	731.446
RondoniaHeadwaters	Headwaters	Rondonia	0.00521313	0.96378	0.335156	0.419024	860.804	793.143	784.916
Rondonia	Headwaters	Tapajos	0.00720717	1.77168	0.0764477	0.241606	798.251	795.133	783.754
TapajosHeadwaters	Headwaters	Rondonia	0.00618672	1.09091	0.275313	0.255471	797.861	685.416	676.987
Rondonia	Headwaters	XinguBelemC	0.00903038	1.84746	0.0646799	0.0315479	797.827	785.006	770.956
Headwaters	Rondonia	XinguBelemN	0.00522166	1.12789	0.259365	0.0132723	792.755	761.939	754.024
RondoniaHeadwaters	Headwaters	Tapajos	0.00919429	1.93349	0.0531764	0.261249	864.919	794.026	779.558
TapajosHeadwaters	Headwaters	RondoniaHeadwaters	0.0163718	1.94966	0.051217	0.0274764	782.364	731.646	708.075
RondoniaHeadwaters	Headwaters	XinguBelemC	0.0156165	2.67085	0.00756597	0.0526003	867.302	786.378	762.194
RondoniaHeadwaters	Headwaters	XinguBelemN	0.000236461	0.0361782	0.97114	0.000628813	856.407	752.004	751.648
TapajosHeadwaters	Headwaters	Tapajos	0.00187422	0.347996	0.727843	0.0577374	801.893	685.307	682.743
XinguBelemC	Tapajos	Headwaters	0.00626477	1.22344	0.221165	0.0112916	817.777	782.001	772.264
XinguBelemN	Tapajos	Headwaters	0.0225708	3.46844	0.000523494	0.0381754	802.409	780.926	746.452
TapajosHeadwaters	Headwaters	XinguBelemC	0.0123807	1.89002	0.0587557	0.0410567	803.22	677.25	660.686
Headwaters	TapajosHeadwaters	XinguBelemN	0.00403842	0.512848	0.608058	0.0099601	791.713	655.481	650.208
XinguBelemN	XinguBelemC	Headwaters	0.0174158	2.22597	0.0260164	0.0299807	848.947	755.4	729.539
Rondonia	InambariE	InambariW	0.0275483	5.79002	7.03767e-09	0.96549	821.593	806.774	763.515
RondoniaHeadwaters	InambariE	InambariW	0.0275967	4.83882	1.30612e-06	0.901733	835.239	816.261	772.418
InambariW	InambariE	Tapajos	0.0388014	7.49026	6.87389e-14	0.445291	818.717	807.477	747.155
InambariW	InambariE	TapajosHeadwaters	0.0322644	6.17978	6.41903e-10	0.0404679	727.749	715.143	670.438
InambariW	InambariE	XinguBelemC	0.0348983	5.77385	7.74826e-09	0.104119	825.28	792.574	739.12
InambariW	InambariE	XinguBelemN	0.0273514	4.8445	1.2693e-06	0.0580765	813.25	773.628	732.436
Rondonia	RondoniaHeadwaters	InambariE	0.00283964	0.442606	0.658051	0.0307244	802.207	800.253	795.721
InambariE	Rondonia	Tapajos	0.0166314	3.78997	0.000150668	0.360993	793.062	792.947	767.003
TapajosHeadwaters	Rondonia	InambariE	0.018909	3.45571	0.000548846	0.167934	705.207	704.192	678.055
InambariE	Rondonia	XinguBelemC	0.0227244	4.68663	2.77735e-06	0.0712098	799.359	786.841	751.875
InambariE	Rondonia	XinguBelemN	0.0252867	4.67877	2.88596e-06	0.0585045	789.844	773.907	735.733
InambariE	RondoniaHeadwaters	Tapajos	0.0144484	2.96693	0.00300788	0.311607	807.768	800.236	777.442
TapajosHeadwaters	RondoniaHeadwaters	InambariE	0.0198589	2.48289	0.013032	0.1596	750.819	704.406	676.974
InambariE	RondoniaHeadwaters	XinguBelemC	0.0160832	3.0266	0.00247325	0.0536301	815.133	787.889	762.947
InambariE	RondoniaHeadwaters	XinguBelemN	0.0195267	3.69701	0.000218158	0.0495875	802.511	773.826	744.184
TapajosHeadwaters	Tapajos	InambariE	0.00173291	0.280019	0.779463	0.014077	714.801	688.338	685.956
XinguBelemC	Tapajos	InambariE	0.0142336	2.42823	0.0151725	0.114519	839.26	766.244	744.738
XinguBelemN	Tapajos	InambariE	0.0174312	3.68019	0.000233061	0.12899	818.994	758.769	732.77
XinguBelemC	TapajosHeadwaters	InambariE	0.016109	1.59544	0.110615	0.123571	699.554	694.502	672.481
XinguBelemN	TapajosHeadwaters	InambariE	0.0156432	1.92374	0.0543874	0.106946	688.332	677.773	656.895
XinguBelemN	XinguBelemC	InambariE	0.00430366	0.620709	0.534791	0.0338481	873.752	730.336	724.077
RondoniaHeadwaters	Rondonia	InambariW	0.000307647	0.0522138	0.958358	0.010507	835.59	771.289	770.815
Tapajos	Rondonia	InambariW	0.0187551	6.73545	1.63425e-11	0.381376	826.665	768.702	740.399
TapajosHeadwaters	Rondonia	InambariW	0.0139861	3.12119	0.00180121	0.296919	733.148	680.05	661.29
XinguBelemC	Rondonia	InambariW	0.0285988	6.63982	3.14061e-11	0.481393	818.055	772.597	729.635
XinguBelemN	Rondonia	InambariW	0.0266014	5.85367	4.80856e-09	0.501723	799.654	759.656	720.287
Tapajos	RondoniaHeadwaters	InambariW	0.018102	2.60353	0.00922703	0.370518	835.103	779.814	752.083
TapajosHeadwaters	RondoniaHeadwaters	InambariW	0.0135749	1.79646	0.0724214	0.310468	779.436	679.421	661.222
XinguBelemC	RondoniaHeadwaters	InambariW	0.0279039	4.13816	3.50101e-05	0.482665	821.626	786.205	743.52
XinguBelemN	RondoniaHeadwaters	InambariW	0.0256038	4.07282	4.64465e-05	0.48869	800.313	768.038	729.69
Tapajos	TapajosHeadwaters	InambariW	0.00569444	1.16012	0.245999	0.108687	743.582	670.032	662.445
XinguBelemC	Tapajos	InambariW	0.0100342	1.87678	0.0605479	0.165319	872.653	739.367	724.677
XinguBelemN	Tapajos	InambariW	0.00691732	1.21451	0.224552	0.124622	846.799	729.404	719.383
XinguBelemC	TapajosHeadwaters	InambariW	0.0167646	2.30517	0.0211573	0.25779	725.275	675.533	653.256
XinguBelemN	TapajosHeadwaters	InambariW	0.0124143	1.65717	0.0974845	0.207974	711.049	658.189	642.047
XinguBelemC	XinguBelemN	InambariW	0.00250303	0.388853	0.697385	0.0385008	899.288	708.519	704.981
RondoniaHeadwaters	Rondonia	Tapajos	0.00196749	0.371564	0.710218	0.0544064	794.086	787.694	784.6
TapajosHeadwaters	RondoniaHeadwaters	Rondonia	0.00434608	0.687599	0.491705	0.204655	731.956	691.499	685.514
RondoniaHeadwaters	Rondonia	XinguBelemC	0.00637172	1.05635	0.29081	0.0212308	799.973	780.582	770.698
RondoniaHeadwaters	Rondonia	XinguBelemN	0.00561305	0.957539	0.338295	0.0142713	783.686	761.667	753.164
TapajosHeadwaters	Tapajos	Rondonia	0.000293059	0.0623038	0.950321	0.013657	691.443	690.155	689.751
XinguBelemC	Tapajos	Rondonia	0.00820553	1.55301	0.120421	0.282289	815.654	768.609	756.098
XinguBelemN	Tapajos	Rondonia	0.00971824	1.73495	0.0827491	0.328504	793.545	760.127	745.495
TapajosHeadwaters	Rondonia	XinguBelemC	0.00585785	0.799275	0.424131	0.0186579	695.146	681.089	673.156
