# This file was produced by samtools stats (1.17+htslib-1.17) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats trimmomaticbwamapped/Ceratopipra_rubrocapilla_PPS221.GBSPipfilbwa.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7fd80bc3	f8207f9a	742440fd
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1416107	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1416107
SN	is sorted:	1
SN	1st fragments:	1416107
SN	last fragments:	0
SN	reads mapped:	1369054
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	47053
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	114608	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	10855
SN	total length:	109771485	# ignores clipping
SN	total first fragment length:	109771485	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	106667241	# ignores clipping
SN	bases mapped (cigar):	104891337	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	2361138	# from NM fields
SN	error rate:	2.251032e-02	# mismatches / bases mapped (cigar)
SN	average length:	77
SN	average first fragment length:	78
SN	average last fragment length:	0
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	0
SN	average quality:	37.3
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	1	18	0	2410	7	0	17	0	0	5	3937	217	2278	2	1	271	1801	12	4429	114	7344	6014	4541	16367	498	22790	26372	15311	77854	3	133623	84317	1005553	0	0	0
FFQ	2	0	0	0	0	0	0	0	1	26	0	3654	202	0	13	0	2	24	3882	3286	77	0	7	377	2106	14	5892	152	9417	5360	5713	19525	508	23278	30426	13717	82925	0	135226	86683	983614	0	0	0
FFQ	3	0	0	0	0	0	0	0	2	18	0	3724	11	0	12	0	0	7	3625	175	3481	1	5	390	2718	18	4776	108	14695	353	6121	17115	395	23852	27711	12881	75809	0	122798	107688	987618	0	0	0
FFQ	4	0	0	0	0	0	0	0	5	475	0	213	2864	0	8	0	313	99	3518	115	2204	0	23	369	1412	11	5270	17	13503	322	4423	17944	517	21891	29194	13887	80545	1	133671	106746	976547	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	38	0	2712	160	0	6	0	330	18	3508	2404	100	0	15	357	1453	17	5361	18	13548	524	4692	17622	745	22195	28956	14209	81121	0	134771	99942	981285	0	0	0
FFQ	6	0	0	0	0	0	0	0	3	34	0	4083	12	1	20	0	1	53	4909	2220	1402	1	14	301	40	2417	5571	1932	15539	322	5450	7953	10972	22019	27192	21010	14388	55626	47487	122699	99686	289650	653100	0
FFQ	7	0	0	0	0	0	0	0	14	675	0	2944	116	0	7	1	39	1191	4328	1834	247	2	505	583	862	1052	6062	4342	11505	1550	3246	8825	10529	23353	24960	23594	13917	58722	52234	130330	109930	286851	631757	0
FFQ	8	0	0	0	0	0	0	0	7	244	0	3407	351	1	7	1	7	754	3721	1781	985	2	106	653	270	1589	5687	3743	11797	1321	4211	8761	10604	21604	27186	21622	14488	58897	48087	132624	105511	288700	637378	0
FFQ	9	0	0	0	0	0	0	0	2	436	0	3426	910	2	5	1	16	653	3956	1771	1224	4	228	505	542	1824	5786	3134	12508	1063	4594	8516	11650	20518	26631	21269	14730	57870	47760	131126	100026	288115	645306	0
FFQ	10	0	0	0	0	0	6	1	7	569	0	2899	460	5	4	0	30	1117	3774	1697	940	12	331	650	796	1575	5968	3647	12519	1459	4300	9201	12552	20849	27303	21476	15990	59129	48621	133198	99718	285641	639663	0
