pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	1	500000	0.02045877247365159	17
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	500001	1000000	0.16843526914914145	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	1000001	1500000	0.24999999999999992	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	1500001	2000000	0.06249999999999988	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	2000001	2500000	-0.064299918980629	6
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	2500001	3000000	0.0649371319433392	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	3000001	3500000	0.09420289855072457	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	3500001	4000000	0.1629603717955125	19
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	4000001	4500000	0.1152591888035872	17
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	4500001	5000000	0.05805019921658286	26
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	5000001	5500000	0.19642857142857145	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	5500001	6000000	0.26020408163265296	3
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	6000001	6500000	-0.0217526898487447	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	6500001	7000000	0.0	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	7000001	7500000	-0.05263157894736814	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	8000001	8500000	0.04845723752329659	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	8500001	9000000	0.050737207285342444	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	9000001	9500000	0.05737704918032779	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	9500001	10000000	-0.042533081285443974	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	10000001	10500000	0.10714285714285712	3
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	10500001	11000000	-0.015385522282480532	12
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	11000001	11500000	0.03492647058823532	10
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	11500001	12000000	-0.1057692307692308	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	12000001	12500000	-0.11842105263157894	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	12500001	13000000	0.12037037037037018	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	14500001	15000000	0.18243698107562267	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	15000001	15500000	-0.034482758620689655	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	15500001	16000000	0.15816326530612249	9
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	16000001	16500000	-0.04166666666666651	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	16500001	17000000	-0.07142857142857145	8
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	17000001	17500000	0.046610169491525515	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	17500001	18000000	-0.05769230769230766	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	18000001	18500000	-0.008064516129032265	7
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	18500001	19000000	-0.08173076923076912	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	19000001	19500000	-0.04508196721311475	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	19500001	20000000	NA	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	20000001	20500000	NA	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	20500001	21000000	0.16666666666666666	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	21000001	21500000	-0.05769230769230766	1
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	21500001	22000000	0.11952779144121994	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	22000001	22500000	0.30722891566265065	6
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	22500001	23000000	-0.03571428571428571	3
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	23000001	23500000	-0.04999999999999998	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	23500001	24000000	0.006024096385542228	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	24000001	24500000	0.036458333333333336	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	24500001	25000000	-0.08117483811285839	5
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	25000001	25500000	0.18297678652708213	2
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	25500001	26000000	0.1642037058087984	4
AtlanticForest_Ibateguara	AtlanticForest_Ilheus	chr_3	26500001	27000000	-0.1111111111111105	3
