pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
AtlanticForest	Inambari	chr_23	1	500000	0.003140956732061274	1250	2244	714432	85568
AtlanticForest	Inambari	chr_23	500001	1000000	0.002964997288645547	2020	3390	1143340	149460
AtlanticForest	Inambari	chr_23	1000001	1500000	0.005740833323171847	2919	9416	1640180	227980
AtlanticForest	Inambari	chr_23	1500001	2000000	0.01011724824826574	1181	6948	686748	69092
AtlanticForest	Inambari	chr_23	2000001	2500000	0.011234436308585906	917	5818	517872	69008
AtlanticForest	Inambari	chr_23	2500001	3000000	0.007404133053376063	1628	6700	904900	137020
AtlanticForest	Inambari	chr_23	3000001	3500000	0.007022209647757816	1286	4964	706900	116140
AtlanticForest	Inambari	chr_23	3500001	4000000	0.01003450987528352	1101	6176	615476	89164
AtlanticForest	Inambari	chr_23	4000001	4500000	0.007260419794197123	1596	6384	879288	142152
AtlanticForest	Inambari	chr_23	4500001	5000000	0.006483989621054433	1254	4548	701420	101140
AtlanticForest	Inambari	chr_23	5000001	5500000	0.008049703875852762	1122	5154	640272	77808
AtlanticForest	Inambari	chr_23	5500001	6000000	0.006661430733203298	2462	9262	1390392	185288
AtlanticForest	Inambari	chr_23	6000001	6500000	0.005689127061497373	2456	7890	1386856	184984
AtlanticForest	Rondonia	chr_23	1	500000	0.0024619385757283538	1250	1348	547536	102464
AtlanticForest	Rondonia	chr_23	500001	1000000	0.0031212303289102528	2020	2722	872092	178308
AtlanticForest	Rondonia	chr_23	1000001	1500000	0.005787190115969613	2919	7176	1239980	277900
AtlanticForest	Rondonia	chr_23	1500001	2000000	0.010784597002803526	1181	5524	512212	101908
AtlanticForest	Rondonia	chr_23	2000001	2500000	0.010941087241718597	917	4270	390272	86568
AtlanticForest	Rondonia	chr_23	2500001	3000000	0.0064829170255526845	1628	4516	696600	149960
AtlanticForest	Rondonia	chr_23	3000001	3500000	0.006618705035971223	1286	3496	528200	140520
AtlanticForest	Rondonia	chr_23	3500001	4000000	0.009899750419445581	1101	4744	479204	93316
AtlanticForest	Rondonia	chr_23	4000001	4500000	0.0071550894972669905	1596	4880	682032	147888
AtlanticForest	Rondonia	chr_23	4500001	5000000	0.006361341664787482	1254	3498	549884	102196
AtlanticForest	Rondonia	chr_23	5000001	5500000	0.007611969617600838	1122	3720	488704	94736
AtlanticForest	Rondonia	chr_23	5500001	6000000	0.007039524174980814	2462	7338	1042400	237840
AtlanticForest	Rondonia	chr_23	6000001	6500000	0.005348470415541015	2456	5480	1024592	252528
AtlanticForest	RondoniaHeadwaters	chr_23	1	500000	0.002642983780944251	1250	322	121832	28168
AtlanticForest	RondoniaHeadwaters	chr_23	500001	1000000	0.0016377624863519794	2020	258	157532	84868
AtlanticForest	RondoniaHeadwaters	chr_23	1000001	1500000	0.005853092356159841	2919	1412	241240	109040
AtlanticForest	RondoniaHeadwaters	chr_23	1500001	2000000	0.010814389759435003	1181	980	90620	51100
AtlanticForest	RondoniaHeadwaters	chr_23	2000001	2500000	0.00994680261553807	917	718	72184	37856
AtlanticForest	RondoniaHeadwaters	chr_23	2500001	3000000	0.007291890070161463	1628	952	130556	64804
AtlanticForest	RondoniaHeadwaters	chr_23	3000001	3500000	0.0065800776552245475	1286	766	116412	37908
AtlanticForest	RondoniaHeadwaters	chr_23	3500001	4000000	0.00889884028016994	1101	930	104508	27612
AtlanticForest	RondoniaHeadwaters	chr_23	4000001	4500000	0.008094410657399362	1596	1118	138120	53400
AtlanticForest	RondoniaHeadwaters	chr_23	4500001	5000000	0.007517182130584193	1254	770	102432	48048
AtlanticForest	RondoniaHeadwaters	chr_23	5000001	5500000	0.006762596145536254	1122	626	92568	42072
AtlanticForest	RondoniaHeadwaters	chr_23	5500001	6000000	0.0064501861339427225	2462	1400	217048	78392
AtlanticForest	RondoniaHeadwaters	chr_23	6000001	6500000	0.0051717629294073236	2456	1096	211920	82800
AtlanticForest	Tapajos	chr_23	1	500000	0.0013630375063071144	1250	778	570784	129216
AtlanticForest	Tapajos	chr_23	500001	1000000	0.002074937837606105	2020	1936	933040	198160
AtlanticForest	Tapajos	chr_23	1000001	1500000	0.005277454989964234	2919	6994	1325260	309380
AtlanticForest	Tapajos	chr_23	1500001	2000000	0.010268963033203226	1181	5588	544164	117196
AtlanticForest	Tapajos	chr_23	2000001	2500000	0.01075741587524915	917	4404	409392	104128
AtlanticForest	Tapajos	chr_23	2500001	3000000	0.0068891585540385375	1628	5064	735068	176612
AtlanticForest	Tapajos	chr_23	3000001	3500000	0.006278186143957956	1286	3536	563220	156940
AtlanticForest	Tapajos	chr_23	3500001	4000000	0.009650142522731978	1101	4848	502376	114184
AtlanticForest	Tapajos	chr_23	4000001	4500000	0.006872276231981227	1596	4920	715920	177840
AtlanticForest	Tapajos	chr_23	4500001	5000000	0.0068592236092783	1254	3888	566828	135412
AtlanticForest	Tapajos	chr_23	5000001	5500000	0.007688978872695238	1122	3980	517624	110696
AtlanticForest	Tapajos	chr_23	5500001	6000000	0.006901310018755304	2462	7742	1121816	256904
AtlanticForest	Tapajos	chr_23	6000001	6500000	0.004915934818478882	2456	5470	1112708	262652
AtlanticForest	TapajosHeadwaters	chr_23	1	500000	0.002353266888150609	1249	204	86688	63312
AtlanticForest	TapajosHeadwaters	chr_23	500001	1000000	0.0025443204202232434	2020	372	146208	96192
AtlanticForest	TapajosHeadwaters	chr_23	1000001	1500000	0.005509334415584415	2874	1086	197120	153160
AtlanticForest	TapajosHeadwaters	chr_23	1500001	2000000	0.008956473214285714	1130	642	71680	70040
AtlanticForest	TapajosHeadwaters	chr_23	2000001	2500000	0.010405993852459017	917	650	62464	47576
AtlanticForest	TapajosHeadwaters	chr_23	2500001	3000000	0.007412854246989149	1567	746	100636	94724
AtlanticForest	TapajosHeadwaters	chr_23	3000001	3500000	0.006013898788310762	1147	540	89792	64528
AtlanticForest	TapajosHeadwaters	chr_23	3500001	4000000	0.00944982170147733	1101	742	78520	53600
AtlanticForest	TapajosHeadwaters	chr_23	4000001	4500000	0.007087106987703409	1544	770	108648	82872
AtlanticForest	TapajosHeadwaters	chr_23	4500001	5000000	0.006238813602659167	1117	488	78220	72260
AtlanticForest	TapajosHeadwaters	chr_23	5000001	5500000	0.008289355770188191	1120	666	80344	54296
AtlanticForest	TapajosHeadwaters	chr_23	5500001	6000000	0.006659786886819622	2462	1110	166672	128768
AtlanticForest	TapajosHeadwaters	chr_23	6000001	6500000	0.0055540893932487225	2383	926	166724	127996
AtlanticForest	XinguBelem	chr_23	1	500000	0.0007917277731726498	1250	298	376392	23608
AtlanticForest	XinguBelem	chr_23	500001	1000000	0.002027760698072973	2020	1240	611512	34888
AtlanticForest	XinguBelem	chr_23	1000001	1500000	0.0048801939716649236	2919	4106	841360	92720
AtlanticForest	XinguBelem	chr_23	1500001	2000000	0.010854370053723066	1181	3758	346220	31700
AtlanticForest	XinguBelem	chr_23	2000001	2500000	0.009705847326426105	917	2608	268704	24736
AtlanticForest	XinguBelem	chr_23	2500001	3000000	0.006847272169481704	1628	3214	469384	51576
AtlanticForest	XinguBelem	chr_23	3000001	3500000	0.005899641032870978	1286	2176	368836	42684
AtlanticForest	XinguBelem	chr_23	3500001	4000000	0.010089713354890471	1101	3320	329048	23272
AtlanticForest	XinguBelem	chr_23	4000001	4500000	0.00628101353467746	1596	3048	485272	25448
AtlanticForest	XinguBelem	chr_23	4500001	5000000	0.006690393103926417	1254	2316	346168	55112
AtlanticForest	XinguBelem	chr_23	5000001	5500000	0.00788021110734518	1122	2604	330448	28592
AtlanticForest	XinguBelem	chr_23	5500001	6000000	0.0070204230488694385	2462	5082	723888	63952
AtlanticForest	XinguBelem	chr_23	6000001	6500000	0.0051449024624059085	2456	3628	705164	80756
